artistName,minutesPlayed,msPlayed,tracks,month,year
Silver Mt. Zion,724.0689666666667,43444138,"{'God Bless Our Dead Marines', ""13 Angels Standing Guard 'Round The Side Of Your Bed"", 'Mountains Made Of Steam', ""'Piphany Rambler"", 'American Motor Over Smoldered Field', 'Horses In The Sky', 'BlindBlindBlind'}",2,2026
The Antlers,381.63751666666667,22898251,"{'Every Night My Teeth Are Falling Out', 'Epilogue', ""I'm Hibernating"", ""I Don't Want Love"", 'On the Roof', 'Director', 'Hounds', ""Flash Floods Don't Retreat"", 'French Exit', 'The Universe Is Going To Catch You', 'Shiva', 'First Field', 'In the Attic', 'Intruders', 'Parentheses', 'Putting The Dog To Sleep', 'Thirteen', 'Stairs to the Attic', 'Two', 'Bear', 'Refuge', 'Wake', 'Kettering', 'In the Snow'}",2,2026
Carissa's Wierd,352.47113333333334,21148268,"{'Silently Leaving the Room', 'Heather Rhodes', 'Lazy Eyelids', '(March 19th 1983) It Was Probably Green', 'A Loose Hair Falls Into a Glass of Water Without Ice', 'So You Wanna Be A Superhero', ""They'll Only Miss You When You Leave"", 'A New Holiday (November 16th)', 'Sympathy Bush', 'Farewell to All These Rotten Teeth', 'Drunk w/ the Only Saints I Know', 'The Piano Song', 'All Apologies and Smiles, Yours Truely, Ugly Valentine'}",2,2026
Queens of the Stone Age,329.7461666666667,19784770,"{'Into The Hollow', ""Everybody Knows That You're Insane"", 'Villains of Circumstance', 'River In The Road', '...Like Clockwork', 'I Sat by the Ocean', 'Fortress', 'Kalopsia', 'Running Joke - Non-LP Version', '""You Got A Killer Scene There, Man...""', 'Keep Your Eyes Peeled', 'Un-Reborn Again', 'God Is In The Radio', 'Another Love Song', 'Auto Pilot'}",2,2026
The Smiths,311.6569166666667,18699415,"{""I Know It's Over - 2011 Remaster"", 'Cemetry Gates - 2011 Remaster', 'Last Night I Dreamt That Somebody Loved Me - 2011 Remaster', 'Well I Wonder - 2011 Remaster', 'Half a Person - 2011 Remaster', 'Unloveable - 2017 Master', ""That Joke Isn't Funny Anymore"", ""I Won't Share You - 2011 Remaster"", 'Some Girls Are Bigger Than Others - 2011 Remaster', 'The Queen Is Dead - 2011 Remaster', 'Still Ill - 2011 Remaster', ""I Want the One I Can't Have - 2011 Remaster"", 'Never Had No One Ever - 2011 Remaster', 'Pretty Girls Make Graves - 2011 Remaster', 'This Night Has Opened My Eyes - 2011 Remaster', ""I Don't Owe You Anything - 2011 Remaster"", 'Asleep - 2011 Remaster', 'There Is a Light That Never Goes Out - 2011 Remaster', 'The Boy with the Thorn in His Side - 2011 Remaster', 'This Charming Man - 2011 Remaster'}",2,2026
Mud Flow,255.48420000000002,15329052,"{'The Sense of Me', 'How I Got Depressed', 'Tribal Dance', 'Debbie & Charlie - The True Story', 'Unfinished Relief', 'Planes', 'Five Against Six', 'Chemicals', 'The Sense of Me / Chemicals'}",2,2026
Beach House,224.27866666666665,13456720,"{'PPP', 'Levitation', 'Superstar', 'Zebra', 'Heart of Chambers', 'On the Sea', '10 Mile Stereo', 'Lazuli', 'Majorette', 'Somewhere Tonight', 'Myth', 'Girl Of The Year', 'Days of Candy', 'Drunk In LA'}",2,2026
Sufjan Stevens,214.27468333333334,12856481,"{'John Wayne Gacy, Jr.', 'Should Have Known Better', 'Fourth of July', 'No Shade in the Shadow of The Cross', 'Futile Devices', 'Blue Bucket of Gold', 'The Dress Looks Nice on You', 'Back To Oz', 'The Only Thing', 'I Want To Be Well', 'Concerning the UFO sighting near Highland, Illinois', 'Flint (For the Unemployed and Underpaid)', 'Murder And Crime', 'Drawn to the Blood'}",2,2026
Silversun Pickups,179.98026666666667,10798816,"{'Melatonin', 'Kissing Families', 'Three Seed', 'Seasick', 'Circadian Rhythm (Last Dance)', 'The Pit', 'Well Thought Out Twinkles', 'Dots And Dashes (Enough Already)'}",2,2026
Arcade Fire,165.33118333333334,9919871,"{'Neighborhood #1 (Tunnels)', 'Une Annee Sans Lumiere', 'Ready to Start', 'Ocean of Noise', 'The Suburbs', 'Half Light I', 'In the Backseat', 'Black Wave / Bad Vibrations', 'Headlights Look Like Diamonds', 'Speaking in Tongues (feat. David Byrne)'}",2,2026
Message To Bears,148.01941666666667,8881165,"{""I'll Lead You There"", 'Wake Me - Levi Patel Rework', 'Wake Me', 'Undone', 'Almost Faded', 'You Are a Memory', 'Unleft', 'Sun Breaking Through', 'At a Glance', 'Mountains', 'Spin/Float'}",2,2026
Giles Corey,131.39956666666666,7883974,"{'Wounded Wolf', 'Spectral Bride', ""Winter's House"", 'No One Is Ever Going to Want Me', 'Empty Churches', 'Blackest Bile', ""I'm Going to Do It"", 'Grave Filled with Books', 'Buried Above Ground', 'Sleeping Heart', 'Guilt is My Boyfriend'}",2,2026
Radiohead,122.02628333333334,7321577,"{'Climbing Up the Walls', 'The Tourist', 'Weird Fishes / Arpeggi', 'Lucky', 'Faust Arp', 'Black Star', 'My Iron Lung', 'Pyramid Song', 'Subterranean Homesick Alien', 'Reckoner', 'Idioteque', 'Last Flowers', 'Street Spirit (Fade Out)', 'Gagging Order', 'Decks Dark', 'The National Anthem', 'True Love Waits', 'Sail To The Moon', 'Creep', 'Spectre', 'Optimistic', 'Present Tense', 'Lotus Flower', 'A Wolf At the Door', 'Videotape', 'Give Up The Ghost', 'Talk Show Host', 'House Of Cards'}",2,2026
Deftones,119.98461666666667,7199077,"{'Korea', 'Mascara', 'Genesis', 'Lhabia', 'Phantom Bride', 'Diamond Eyes', 'This Place Is Death', 'My Own Summer (Shove It)', 'i think about you all the time', 'Please Please Please Let Me Get What I Want - 2005 Remaster', 'Change (In the House of Flies)'}",2,2026
The Strokes,116.18871666666666,6971323,"{'I\'ll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side', 'Heart In a Cage', 'Call It Fate, Call It Karma', 'Automatic Stop', 'Trying Your Luck', 'Is This It', 'Ode To The Mets', '12:51', 'Not The Same Anymore'}",2,2026
Brand New,103.03751666666668,6182251,"{'Waste', 'The Shower Scene', ""You Won't Know"", 'Handcuffs', 'Degausser', 'Limousine', 'Not The Sun', 'Luca', 'Vices'}",2,2026
System Of A Down,100.55691666666667,6033415,"{'B.Y.O.B.', 'Shame', 'Innervision', 'Question!', 'Roulette', 'Revenga', 'Deer Dance', 'Aerials', 'Chop Suey!', 'Sugar', 'Lonely Day', 'Radio/Video'}",2,2026
Neutral Milk Hotel,96.19163333333333,5771498,"{'King of Carrot Flowers Pt. 1', 'April 8th', 'Two-Headed Boy Pt. 2', 'Song Against Sex', 'The Fool', 'Naomi', 'Ferris Wheel on Fire - 1993', 'Oh Comely', 'Engine', 'A Baby for Pree', 'Gardenhead / Leave Me Alone', 'Ghost', 'Three Peaches', ""Where You'll Find Me Now"", 'King of Carrot Flowers Pts. 2 & 3'}",2,2026
Stone Temple Pilots,92.50728333333333,5550437,"{'Creep - Live; MTV Unplugged, 11/17/93', 'Interstate Love Song - 2019 Remaster', 'Plush - Acoustic', 'Big Empty - 2019 Remaster', 'Plush - 2017 Remaster', 'Creep - 2017 Remaster', 'Vasoline - 2019 Remaster'}",2,2026
Andrew Bird,85.97976666666668,5158786,"{'Cracking Codes', 'Armchairs', 'Need Someone - From The MAX Original Series The Pitt', 'Fake Palindromes'}",2,2026
Highly Suspect,83.28416666666666,4997050,"{'Send Me An Angel', 'Little One', 'Mister Asylum', 'Vanity'}",2,2026
