trackName,artistName,minutesPlayed,msPlayed,month,year
The Unforgiven II,Metallica,283.81738333333334,17029043,5,2026
The Unforgiven (Remastered),Metallica,167.30696666666665,10038418,5,2026
Atrophy,The Antlers,113.88953333333333,6833372,5,2026
Moth To A Flame (with The Weeknd),Swedish House Mafia,93.60381666666666,5616229,5,2026
Sober,TOOL,85.30966666666667,5118580,5,2026
As Tears Go By - Mono Version,The Rolling Stones,78.24115,4694469,5,2026
BlindBlindBlind,Silver Mt. Zion,77.72553333333333,4663532,5,2026
American Motor Over Smoldered Field,Silver Mt. Zion,72.50171666666667,4350103,5,2026
Snuff,Slipknot,69.06433333333334,4143860,5,2026
Passing Afternoon,Iron & Wine,66.5461,3992766,5,2026
Lazy Eyelids,Carissa's Wierd,64.35033333333334,3861020,5,2026
Racehorse: Get Married!,Jordaan Mason,62.37736666666666,3742642,5,2026
(Nice Dream),Radiohead,58.42701666666667,3505621,5,2026
Bring It Back Gentle,Desert Sessions,57.86436666666667,3471862,5,2026
Armchairs,Andrew Bird,57.35713333333334,3441428,5,2026
Stabilisers For Big Boys,Panchiko,54.686883333333334,3281213,5,2026
Five Against Six,Mud Flow,53.63008333333333,3217805,5,2026
Gimme Shelter,The Rolling Stones,52.73548333333333,3164129,5,2026
Pictures of Me,Elliott Smith,52.72776666666667,3163666,5,2026
Wake,The Antlers,50.46553333333333,3027932,5,2026
Myth,Beach House,47.41971666666666,2845183,5,2026
Seasick,Silversun Pickups,47.281150000000004,2836869,5,2026
The Giant Of Illinois,Andrew Bird,46.745333333333335,2804720,5,2026
Last Night I Dreamt That Somebody Loved Me - 2011 Remaster,The Smiths,45.993900000000004,2759634,5,2026
Degausser,Brand New,44.14151666666667,2648491,5,2026
No One Is Ever Going to Want Me,Giles Corey,43.84941666666667,2630965,5,2026
PPP,Beach House,42.997150000000005,2579829,5,2026
Black Hole Sun,Soundgarden,42.48251666666667,2548951,5,2026
Street Spirit (Fade Out),Radiohead,42.30883333333334,2538530,5,2026
Ryunosuke,Mud Flow,41.9752,2518512,5,2026
i think about you all the time,Deftones,41.56153333333333,2493692,5,2026
Luca,Brand New,41.1556,2469336,5,2026
Ode To The Mets,The Strokes,41.04181666666666,2462509,5,2026
A Held Breath,German Error Message,40.779066666666665,2446744,5,2026
Black,Pearl Jam,39.97618333333333,2398571,5,2026
Headlights Look Like Diamonds,Arcade Fire,39.87215,2392329,5,2026
Just,Radiohead,39.0187,2341122,5,2026
On the Sea,Beach House,38.787816666666664,2327269,5,2026
Zelda,The Antlers,38.39203333333333,2303522,5,2026
Fortress,Queens of the Stone Age,38.174616666666665,2290477,5,2026
In the Backseat,Arcade Fire,38.13333333333333,2288000,5,2026
...Like Clockwork,Queens of the Stone Age,37.83733333333333,2270240,5,2026
Chemicals,Mud Flow,37.5846,2255076,5,2026
Villains of Circumstance,Queens of the Stone Age,36.9338,2216028,5,2026
For You - Intro,HIM,36.026399999999995,2161584,5,2026
That Joke Isn't Funny Anymore,The Smiths,35.6033,2136198,5,2026
Two,The Antlers,35.5947,2135682,5,2026
One Way Trigger,The Strokes,35.47265,2128359,5,2026
Man of War,Radiohead,35.001933333333334,2100116,5,2026
80's Comedown Machine,The Strokes,34.83818333333333,2090291,5,2026
Alison,Slowdive,34.64805,2078883,5,2026
Change (In the House of Flies),Deftones,34.30296666666667,2058178,5,2026
Aerials,System Of A Down,34.2729,2056374,5,2026
Long Slow Goodbye,Queens of the Stone Age,34.166466666666665,2049988,5,2026
Never as Tired as When I'm Waking Up,LCD Soundsystem,34.082,2044920,5,2026
Kettering,The Antlers,33.894149999999996,2033649,5,2026
Play Crack The Sky,Brand New,33.75333333333334,2025200,5,2026
Well I Wonder - 2011 Remaster,The Smiths,33.43953333333334,2006372,5,2026
All Along the Watchtower,Jimi Hendrix,33.156933333333335,1989416,5,2026
Optimistic,Radiohead,32.34608333333333,1940765,5,2026
The Color That Your Eyes Changed With the Color of Your Hair,Carissa's Wierd,32.3318,1939908,5,2026
Empire Ants (feat. Little Dragon),Gorillaz,32.03516666666667,1922110,5,2026
The Universe Is Going To Catch You,The Antlers,30.684033333333335,1841042,5,2026
Pillars,Sunny Day Real Estate,30.622433333333333,1837346,5,2026
Ferris Wheel on Fire - 1993,Neutral Milk Hotel,30.266666666666666,1816000,5,2026
Blue Bucket of Gold,Sufjan Stevens,30.198833333333333,1811930,5,2026
Surrender,The Antlers,29.983566666666665,1799014,5,2026
Bury Me Deep Inside Your Heart,HIM,29.92393333333333,1795436,5,2026
Farewell to All These Rotten Teeth,Carissa's Wierd,29.788733333333333,1787324,5,2026
Somewhere Tonight,Beach House,29.625866666666667,1777552,5,2026
A Perfect Sonnet,Bright Eyes,29.5716,1774296,5,2026
Like a Stone,Audioslave,29.396,1763760,5,2026
Lua,Bright Eyes,29.30983333333333,1758590,5,2026
Toxicity,System Of A Down,29.275383333333334,1756523,5,2026
II. Solar System,The Microphones,29.153733333333335,1749224,5,2026
When I Was an Orphan,The Parlor Mob,28.7053,1722318,5,2026
Wolf Like Me ft. Shovels & Rope,Lera Lynn,28.585083333333333,1715105,5,2026
Blackest Bile,Giles Corey,28.5098,1710588,5,2026
Venus Doom,HIM,28.42045,1705227,5,2026
The Movement Of A Hand,Bright Eyes,28.3346,1700076,5,2026
Lonely Day,System Of A Down,27.984499999999997,1679070,5,2026
Chemtrails,Beck,27.8027,1668162,5,2026
Shiva,The Antlers,27.134616666666666,1628077,5,2026
Fourth of July,Sufjan Stevens,27.056283333333333,1623377,5,2026
Send Me An Angel,Highly Suspect,26.944000000000003,1616640,5,2026
Ginkgo,Panchiko,26.838866666666668,1610332,5,2026
Murder And Crime,Sufjan Stevens,26.738733333333332,1604324,5,2026
The Only Thing Worth Fighting For - From The HBO Series True Detective,Lera Lynn,26.215066666666665,1572904,5,2026
Love is a Laserquest,Arctic Monkeys,26.00548333333333,1560329,5,2026
"A Line Allows Progress, A Circle Does Not",Bright Eyes,25.68465,1541079,5,2026
Ready to Start,Arcade Fire,25.5907,1535442,5,2026
Lost In The World,Sufjan Stevens,25.405283333333333,1524317,5,2026
Bright Blue Pickup Truck,Teen Suicide,25.251083333333334,1515065,5,2026
Radio/Video,System Of A Down,24.9227,1495362,5,2026
Speed Trials,Elliott Smith,24.74843333333333,1484906,5,2026
Into The Hollow,Queens of the Stone Age,24.7192,1483152,5,2026
Melatonin,Silversun Pickups,24.501066666666667,1470064,5,2026
A Nervous Tic Motion of the Head to the Left,Andrew Bird,24.487316666666665,1469239,5,2026
My Least Favorite Life - From The HBO Series True Detective,Lera Lynn,24.467333333333332,1468040,5,2026
"Paint It, Black",The Rolling Stones,24.364016666666664,1461841,5,2026
Do You Wanna Get High?,Weezer,24.238666666666667,1454320,5,2026
Little One,Highly Suspect,24.1533,1449198,5,2026
Ladies and gentlemen we are floating in space,Spiritualized,23.935533333333332,1436132,5,2026
Cracking Codes,Andrew Bird,23.914916666666667,1434895,5,2026
"Sweet Dreams, TN",The Last Shadow Puppets,23.481783333333333,1408907,5,2026
Parentheses,The Antlers,23.302366666666668,1398142,5,2026
Mountains,Message To Bears,22.9044,1374264,5,2026
It's All Tears - Drown In This Love,HIM,22.578566666666667,1354714,5,2026
Bear,The Antlers,22.121366666666667,1327282,5,2026
Another Love Song,Queens of the Stone Age,22.032216666666667,1321933,5,2026
The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO Series True Detective],The Hat,21.992516666666667,1319551,5,2026
I'm Hibernating,The Antlers,21.820116666666667,1309207,5,2026
I Go to the Barn Because I Like The,Band of Horses,21.776183333333332,1306571,5,2026
You Are a Memory,Message To Bears,21.39715,1283829,5,2026
Drunk w/ the Only Saints I Know,Carissa's Wierd,21.057516666666668,1263451,5,2026
Running Joke - Non-LP Version,Queens of the Stone Age,20.662483333333334,1239749,5,2026
"Call It Fate, Call It Karma",The Strokes,20.4773,1228638,5,2026
Fade To Black (Remastered),Metallica,20.33813333333333,1220288,5,2026
(March 19th 1983) It Was Probably Green,Carissa's Wierd,20.23315,1213989,5,2026
I Will,Radiohead,19.911166666666666,1194670,5,2026
"All Apologies and Smiles, Yours Truely, Ugly Valentine",Carissa's Wierd,19.62065,1177239,5,2026
Learning,Perfume Genius,19.248483333333333,1154909,5,2026
Thirteen,The Antlers,19.1587,1149522,5,2026
The Pillar Of Souls,Sufjan Stevens,18.5778,1114668,5,2026
Avalanches,Jordaan Mason,17.8943,1073658,5,2026
Big Black Cloud,The Microphones,17.793999999999997,1067640,5,2026
The Sense of Me,Mud Flow,17.792483333333333,1067549,5,2026
Master of Puppets (Remastered),Metallica,17.61005,1056603,5,2026
Pheurton Skeurto - Remastered,Sunny Day Real Estate,17.0438,1022628,5,2026
Wounded Wolf,Giles Corey,17.043783333333334,1022627,5,2026
The Hurricane,Teen Suicide,16.7334,1004004,5,2026
Plush - 2017 Remaster,Stone Temple Pilots,16.63575,998145,5,2026
You've Passed,Neutral Milk Hotel,16.199416666666668,971965,5,2026
Perfect Day,Lou Reed,15.222183333333334,913331,5,2026
Please Please Please Let Me Get What I Want - 2005 Remaster,Deftones,14.48685,869211,5,2026
The Piano Song,Carissa's Wierd,14.416850000000002,865011,5,2026
April 8th,Neutral Milk Hotel,13.991466666666668,839488,5,2026
Every Little Thing She Does Is Magic,The Police,13.03925,782355,5,2026
Daydreaming,Radiohead,12.814633333333333,768878,5,2026
Look!,The Antlers,12.775466666666667,766528,5,2026
Undone,Message To Bears,12.518216666666667,751093,5,2026
Olympus,Sufjan Stevens,12.193666666666667,731620,5,2026
Palace,The Antlers,11.208533333333333,672512,5,2026
Neighborhood Drug Dealer,Teen Suicide,10.987333333333334,659240,5,2026
Unholy Confessions,Avenged Sevenfold,10.853133333333334,651188,5,2026
Starting Over,LSD and the Search for God,10.5846,635076,5,2026
Easy/Lucky/Free,Bright Eyes,10.401416666666666,624085,5,2026
Days Were Golden,Sunny Day Real Estate,10.291050000000002,617463,5,2026
Tom Sawyer,Rush,10.274933333333333,616496,5,2026
Everybody Knows That You're Insane,Queens of the Stone Age,10.212116666666667,612727,5,2026
Mountains Made Of Steam,Silver Mt. Zion,9.519733333333333,571184,5,2026
Under Cover of Darkness,The Strokes,9.504416666666666,570265,5,2026
Poison Oak,Bright Eyes,9.328,559680,5,2026
Kalopsia,Queens of the Stone Age,9.270666666666667,556240,5,2026
Apple Orchard,Beach House,9.075633333333334,544538,5,2026
My Favorite Heart to Break,The Parlor Mob,8.758116666666666,525487,5,2026
The Sense of Me / Chemicals,Mud Flow,8.673166666666667,520390,5,2026
Endless Ladder,The Antlers,8.49955,509973,5,2026
Asleep - 2011 Remaster,The Smiths,8.452,507120,5,2026
Oh Comely,Neutral Milk Hotel,8.30245,498147,5,2026
I Don't Owe You Anything - 2011 Remaster,The Smiths,8.154666666666667,489280,5,2026
The Day That Never Comes,Metallica,7.937783333333333,476267,5,2026
The Ghost of a Dead Hummingbird Flying Around the Room,Carissa's Wierd,7.836616666666667,470197,5,2026
Limousine,Brand New,7.704883333333333,462293,5,2026
Hard To Explain,The Strokes,7.477766666666667,448666,5,2026
Speaking in Tongues (feat. David Byrne),Arcade Fire,7.4718,448308,5,2026
Corsicana,The Antlers,7.328433333333333,439706,5,2026
Spectral Bride,Giles Corey,7.177783333333333,430667,5,2026
Layla,Derek & The Dominos,7.064,423840,5,2026
Doppelgänger,The Antlers,7.058883333333333,423533,5,2026
Slomo,Slowdive,6.8862,413172,5,2026
In the Aeroplane Over the Sea,Neutral Milk Hotel,6.7449,404694,5,2026
Buried Alive,Avenged Sevenfold,6.7397833333333335,404387,5,2026
Unloveable - 2017 Master,The Smiths,6.705533333333333,402332,5,2026
Question!,System Of A Down,6.6866666666666665,401200,5,2026
Sirens,Pearl Jam,6.68565,401139,5,2026
Swans (Life After Death),Islands,6.647633333333333,398858,5,2026
Broken Heart,Spiritualized,6.63845,398307,5,2026
Caring Is Creepy - 2021 Remaster,The Shins,6.6351,398106,5,2026
Bodys,Car Seat Headrest,6.629933333333334,397796,5,2026
Drawn to the Blood,Sufjan Stevens,6.615966666666667,396958,5,2026
Buried Above Ground,Giles Corey,6.4953,389718,5,2026
Nothing Else Matters (Remastered),Metallica,6.478883333333333,388733,5,2026
September Come Take This Heart Away,Carissa's Wierd,6.47445,388467,5,2026
No One Knows,Queens of the Stone Age,6.422466666666667,385348,5,2026
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,6.30245,378147,5,2026
I'm Going to Do It,Giles Corey,6.266666666666667,376000,5,2026
Uprooted,The Antlers,6.251783333333333,375107,5,2026
Nightmare,Avenged Sevenfold,6.240883333333334,374453,5,2026
Director,The Antlers,6.217333333333333,373040,5,2026
When Love And Death Embrace,HIM,6.1339,368034,5,2026
Train Under Water,Bright Eyes,6.1,366000,5,2026
God Is In The Radio,Queens of the Stone Age,6.082083333333333,364925,5,2026
Ghost Channels,Tacoma Radar,6.079783333333333,364787,5,2026
Something - Remastered 2009,The Beatles,6.076433333333333,364586,5,2026
Faces In Disguise,Sunny Day Real Estate,6.049333333333333,362960,5,2026
I Appear Missing,Queens of the Stone Age,6.011333333333333,360680,5,2026
Souvlaki Space Station,Slowdive,5.956216666666666,357373,5,2026
Upward Over the Mountain,Iron & Wine,5.936,356160,5,2026
Levitation,Beach House,5.91,354600,5,2026
Casimir Pulaski Day,Sufjan Stevens,5.899116666666667,353947,5,2026
Waltz #1,Elliott Smith,5.891933333333333,353516,5,2026
Find Our Way Home,Message To Bears,5.85,351000,5,2026
I Know It's Over - 2011 Remaster,The Smiths,5.8197833333333335,349187,5,2026
No Longer Making Time,Slowdive,5.8018,348108,5,2026
Putting The Dog To Sleep,The Antlers,5.796166666666666,347770,5,2026
Three Seed,Silversun Pickups,5.67555,340533,5,2026
You Should Be at Home Here,Carissa's Wierd,5.63555,338133,5,2026
Not The Same Anymore,The Strokes,5.622216666666667,337333,5,2026
Creep - 2017 Remaster,Stone Temple Pilots,5.5731166666666665,334387,5,2026
I Want Wind to Blow,The Microphones,5.548,332880,5,2026
Wake Me,Message To Bears,5.539333333333333,332360,5,2026
Epilogue,The Antlers,5.481333333333334,328880,5,2026
House Of Cards,Radiohead,5.47155,328293,5,2026
"Blessed Arms That Hold You Tight, Freezing Cold and Alone",Carissa's Wierd,5.4526666666666666,327160,5,2026
Sylvia,The Antlers,5.451783333333333,327107,5,2026
Paranoid Android,Radiohead,5.438833333333333,326330,5,2026
The Past and Pending - 2021 Remaster,The Shins,5.422916666666667,325375,5,2026
Culture War,Arcade Fire,5.397333333333333,323840,5,2026
"There, There",Radiohead,5.3933333333333335,323600,5,2026
Lost In Hollywood,System Of A Down,5.344883333333334,320693,5,2026
Domesticated Animals,Queens of the Stone Age,5.337816666666667,320269,5,2026
Die,Carissa's Wierd,5.31245,318747,5,2026
Jeremy,Pearl Jam,5.3037833333333335,318227,5,2026
No Widows,The Antlers,5.297533333333333,317852,5,2026
Hounds,The Antlers,5.283166666666666,316990,5,2026
The Moon,The Microphones,5.277333333333333,316640,5,2026
Low Budget Slow Motion Soundtrack Song for the Leaving Scene,Carissa's Wierd,5.271116666666667,316267,5,2026
The Suburbs,Arcade Fire,5.25045,315027,5,2026
Rough Song,Beach House,5.247433333333333,314846,5,2026
Two-Headed Boy Pt. 2,Neutral Milk Hotel,5.2328833333333336,313973,5,2026
Parade,The Antlers,5.1751,310506,5,2026
At The Door,The Strokes,5.172883333333333,310373,5,2026
For Whom The Bell Tolls (Remastered),Metallica,5.166216666666666,309973,5,2026
Halfway Spoken Heart that Feels Comfort in Everything Until it Disappears and Then it's Gone,Carissa's Wierd,5.162,309720,5,2026
The Adults Are Talking,The Strokes,5.150883333333334,309053,5,2026
Ocean of Noise,Arcade Fire,5.147466666666667,308848,5,2026
Present Tense,Radiohead,5.109683333333333,306581,5,2026
Astronaut,Beach House,5.084783333333333,305087,5,2026
Organs For Oceans,Jordaan Mason,5.081033333333333,304862,5,2026
Sympathy Bush,Carissa's Wierd,5.075333333333333,304520,5,2026
Sober to Death,Car Seat Headrest,5.073783333333333,304427,5,2026
Keep Your Eyes Peeled,Queens of the Stone Age,5.069333333333334,304160,5,2026
Yellow Ledbetter,Pearl Jam,5.059783333333334,303587,5,2026
Smells Like Teen Spirit,Nirvana,5.032,301920,5,2026
1990 Was A Long Year And We Are All Out Of Hot Water,Jordaan Mason,5.031833333333333,301910,5,2026
Lazuli,Beach House,5.031116666666667,301867,5,2026
Climbing Up the Walls,Radiohead,5.02185,301311,5,2026
Buried Alive By Love,HIM,5.021083333333333,301265,5,2026
Yeah (Sowing Season) (Demo 2006),Brand New,5.019,301140,5,2026
Be Quiet and Drive (Far Away),Deftones,4.9977833333333335,299867,5,2026
In the Attic,The Antlers,4.9897833333333335,299387,5,2026
Oblivius,The Strokes,4.987216666666667,299233,5,2026
Silver Soul,Beach House,4.978,298680,5,2026
Wild,Beach House,4.972,298320,5,2026
King's Crossing,Elliott Smith,4.966216666666667,297973,5,2026
Free Bird,Lynyrd Skynyrd,4.950116666666666,297007,5,2026
Laura Laurent,Bright Eyes,4.944,296640,5,2026
"""You Got A Killer Scene There, Man...""",Queens of the Stone Age,4.943783333333333,296627,5,2026
Missing You (Demo 2006),Brand New,4.939733333333334,296384,5,2026
Pink Funeral,Beach House,4.937116666666666,296227,5,2026
Troublemaker,Beach House,4.925783333333333,295547,5,2026
Gamma Ray,Beck,4.903133333333333,294188,5,2026
I Might Be Wrong,Radiohead,4.896216666666667,293773,5,2026
The Pull,The Microphones,4.8933333333333335,293600,5,2026
Tribal Dance,Mud Flow,4.886666666666667,293200,5,2026
Naomi,Neutral Milk Hotel,4.88445,293067,5,2026
Our Swords,Band of Horses,4.8819,292914,5,2026
Even Flow,Pearl Jam,4.876333333333333,292580,5,2026
"the same things happening to me all the time, even in my dreams",Teen Suicide,4.8514,291084,5,2026
Take Care,Beach House,4.848183333333333,290891,5,2026
Kissing Families,Silversun Pickups,4.842666666666666,290560,5,2026
Reckoner,Radiohead,4.836883333333334,290213,5,2026
Drift Dive,The Antlers,4.820666666666667,289240,5,2026
Pulaski at Night,Andrew Bird,4.818216666666666,289093,5,2026
To Be There Now,Carissa's Wierd,4.817333333333333,289040,5,2026
Pyramid Song,Radiohead,4.812216666666667,288733,5,2026
